name,latitude,longitude,date
Vanessa atalanta,37.848122,-122.197652,2015-11-03
Vanessa atalanta,37.766286,-122.44189,2015-11-07
Vanessa atalanta,37.493577,-122.453058,2015-11-07
Vanessa atalanta,37.47284,-122.443786,2015-11-07
Vanessa atalanta,36.952583,-122.057014,2015-11-11
Vanessa atalanta,37.939281,-121.295056,2015-11-12
Vanessa atalanta,37.802183,-122.43598,2015-10-20
Vanessa atalanta,37.76598,-122.46647,2015-07-11
Vanessa atalanta,34.017532,-118.287781,2015-07-10
Vanessa atalanta,37.579882,-106.649075,2015-07-10
Vanessa atalanta,37.765312,-122.438585,2015-07-14
Vanessa atalanta,38.052755,-122.760415,2015-07-15
Vanessa atalanta,38.06831,-122.806443,2015-07-15
Vanessa atalanta,36.038108,-111.827187,2015-07-16
Vanessa atalanta,37.192673,-122.261268,2015-07-16
Vanessa atalanta,34.159206,-118.119003,1897-01-01
Vanessa atalanta,31.466363,-100.460505,2018-11-14
Vanessa atalanta,26.537756,-100.533722,2018-11-15
Vanessa atalanta,38.017298,-119.170863,2015-04-12
Vanessa atalanta,33.353071,-117.040328,2016-03-25
Vanessa atalanta,30.597692,-103.913437,2018-11-19
Vanessa atalanta,32.273341,-111.146936,2018-11-19
Vanessa atalanta,49.342061,-119.587652,2006-08-09
Vanessa atalanta,31.589518,-100.581593,2018-11-20
Vanessa atalanta,31.443231,-100.408087,2018-11-20
Vanessa atalanta,34.132055,-118.424484,2017-04-14
Vanessa atalanta,37.71978,-122.45751,2017-05-15
Vanessa atalanta,38.301111,-120.276111,1994-06-05
Vanessa atalanta,34.171111,-118.021944,1989-06-14
Vanessa atalanta,38.5,-120.25,1989-06-18
Vanessa atalanta,38.5,-120.25,1989-06-22
Vanessa atalanta,23.38639,-104.24639,1984-08-18
Vanessa atalanta,33.480263,-101.780482,2017-11-23
Vanessa atalanta,37.842187,-122.272478,2017-11-27
Vanessa atalanta,51.402435,-116.249771,2016-06-27
Vanessa atalanta,35.139513,-120.640443,2017-12-01
Vanessa atalanta,37.796495,-122.473188,2017-12-05
Vanessa atalanta,27.888093,-101.189012,2017-10-20
Vanessa atalanta,37.823096,-122.171583,2017-12-07
Vanessa atalanta,39.138432,-120.221994,2010-07-06
Vanessa atalanta,32.395024,-111.134841,2017-10-23
Vanessa atalanta,37.18213,-122.339099,2017-12-09
Vanessa atalanta,36.953292,-122.056205,2017-12-09
Vanessa atalanta,37.160216,-121.876845,2017-12-14
Vanessa atalanta,37.246889,-121.9363,2017-12-15
Vanessa atalanta,31.727766,-110.88119,2017-12-13
Vanessa atalanta,32.01138,-109.354954,2017-12-20
Vanessa atalanta,37.759617,-122.390377,2017-12-21
Vanessa atalanta,34.090732,-117.794407,2017-12-21
Vanessa atalanta,36.473893,-121.213821,2017-11-22
Vanessa atalanta,41.299525,-124.041607,2010-06-30
Vanessa atalanta,37.767606,-122.440709,2017-12-26
Vanessa atalanta,37.702905,-122.438464,2017-12-27
Vanessa atalanta,25.795875,-100.240025,2017-12-24
Vanessa atalanta,53.903205,-106.152554,2017-06-18
Vanessa atalanta,37.190302,-121.833073,2018-01-01
Vanessa atalanta,31.414347,-100.517922,2017-12-21
Vanessa atalanta,40.540853,-105.877364,2016-08-21
Vanessa atalanta,37.805715,-122.256411,2017-12-14
Vanessa atalanta,29.809215,-101.560211,2016-05-14
Vanessa atalanta,29.231113,-103.408086,2016-05-17
Vanessa atalanta,40.320088,-105.604234,2017-06-02
Vanessa atalanta,49.501193,-117.274909,2015-09-12
Vanessa atalanta,34.193871,-118.175297,2015-03-20
Vanessa atalanta,33.736351,-115.82215,2016-11-15
Vanessa atalanta,34.015494,-118.299263,2017-05-03
Vanessa atalanta,29.341537,-100.90868,2017-05-07
Vanessa atalanta,37.767381,-122.509994,2017-05-07
Vanessa atalanta,34.123245,-118.407265,2017-04-27
Vanessa atalanta,36.459164,-118.661224,2016-06-22
Vanessa atalanta,37.756383,-122.471767,2017-05-07
Vanessa atalanta,37.750222,-122.469583,2017-05-07
Vanessa atalanta,37.753344,-122.44812,2017-05-09
Vanessa atalanta,37.679355,-122.406241,2017-05-13
Vanessa atalanta,34.144608,-118.437508,2017-05-14
Vanessa atalanta,29.455833,-100.282778,2017-04-13
Vanessa atalanta,29.455833,-100.282778,2017-04-11
Vanessa atalanta,32.691895,-117.086679,2017-05-17
Vanessa atalanta,37.679559,-122.406615,2017-05-17
Vanessa atalanta,40.226204,-105.301423,2017-05-13
Vanessa atalanta,33.141121,-117.107125,2017-05-19
Vanessa atalanta,38.715611,-104.718315,2017-05-21
Vanessa atalanta,33.932708,-117.309648,2017-05-20
Vanessa atalanta,35.204412,-101.915454,2017-03-26
Vanessa atalanta,43.931288,-116.440605,2017-05-15
Vanessa atalanta,37.971874,-121.980794,2017-05-24
Vanessa atalanta,43.265938,-118.84338,2017-05-18
Vanessa atalanta,46.12132,-123.876864,2013-09-02
Vanessa atalanta,36.458086,-121.91406,2016-02-16
Vanessa atalanta,34.009519,-109.458546,2015-07-28
Vanessa atalanta,36.562744,-121.026206,2017-05-14
Vanessa atalanta,37.893283,-121.900392,2017-05-27
Vanessa atalanta,48.930021000000004,-123.467665,2017-05-27
Vanessa atalanta,37.678696,-122.403633,2017-05-31
Vanessa atalanta,34.45813,-118.852163,2017-05-20
Vanessa atalanta,47.642595,-121.969664,2017-05-31
Vanessa atalanta,48.480968,-123.3599,2016-04-08
Vanessa atalanta,37.610875,-122.484275,2018-07-08
Vanessa atalanta,37.446664,-122.400265,2018-07-08
Vanessa atalanta,37.458195,-122.385293,2018-07-08
Vanessa atalanta,46.812813,-100.788308,2018-07-09
Vanessa atalanta,48.319704,-123.546586,2016-09-24
Vanessa atalanta,37.45207,-122.389437,2018-07-10
Vanessa atalanta,25.793917,-100.240406,2018-03-17
Vanessa atalanta,25.529736,-100.279518,2018-07-11
Vanessa atalanta,37.770878,-122.464455,2018-07-12
Vanessa atalanta,37.09923,-122.274464,2018-07-11
Vanessa atalanta,33.808742,-118.088926,2018-07-14
Vanessa atalanta,36.886186,-121.78205,2018-07-12
Vanessa atalanta,36.775195,-105.431517,2018-07-16
Vanessa atalanta,37.799482,-122.412507,2018-07-16
Vanessa atalanta,37.842187,-122.272478,2018-07-18
Vanessa atalanta,37.763072,-122.487642,2018-07-15
Vanessa atalanta,40.081271,-121.551086,2014-10-04
Vanessa atalanta,-12.527096,-103.033745,2018-07-05
Vanessa atalanta,38.986427,-119.783745,2018-06-09
Vanessa atalanta,37.681896,-123.936707,2018-06-08
Vanessa atalanta,41.209999,-101.646667,2018-07-12
Vanessa atalanta,50.4555,-104.547262,2018-07-20
Vanessa atalanta,25.74968,-100.26062,2018-06-06
Vanessa atalanta,35.272463,-120.874863,2018-07-21
Vanessa atalanta,47.390545,-122.489901,2015-07-07
Vanessa atalanta,46.2775,-119.271111,2017-09-23
Vanessa atalanta,37.794167,-122.453383,2018-07-20
Vanessa atalanta,49.482582,-123.780994,2016-04-29
Vanessa atalanta,32.840255,-117.039728,2016-03-12
Vanessa atalanta,34.29423,-117.839207,2018-05-29
Vanessa atalanta,38.053251,-122.892854,2018-07-22
Vanessa atalanta,33.316649,-112.130285,2019-03-09
Vanessa atalanta,29.291987,-100.41835,2019-03-09
Vanessa atalanta,31.491834,-110.87115,2013-04-02
Vanessa atalanta,48.96,-122.47,1965-08-30
Vanessa atalanta,48.052,-122.177,1959-09-28
Vanessa atalanta,48.76,-122.488,1961-10-16
Vanessa atalanta,48.052,-122.177,1959-09-30
Vanessa atalanta,37.7,-122.4,NA
Vanessa atalanta,48.052,-122.177,1958-08-17
Vanessa atalanta,48.947,-122.452,1965-06-07
Vanessa atalanta,48.76,-122.488,1992-09-30
Vanessa atalanta,48.05,-122.18,1958-08-17
Vanessa atalanta,48.052,-122.177,1959-09-15
Vanessa atalanta,37.737772,-122.432104,2019-03-21
Vanessa atalanta,33.473863,-101.900177,2019-03-22
Vanessa atalanta,33.532909,-101.690287,2019-03-23
Vanessa atalanta,33.842714,-118.289005,2019-03-24
Vanessa atalanta,34.400753,-119.350053,2019-03-24
Vanessa atalanta,34.769888,-106.76127,2019-03-25
Vanessa atalanta,34.171641,-118.167174,2019-03-22
Vanessa atalanta,34.11203,-117.714238,2019-03-24
Vanessa atalanta,30.467631,-101.796371,2019-03-23
Vanessa atalanta,36.933313,-121.738228,2019-03-25
Vanessa atalanta,33.710148,-110.874601,2019-03-24
Vanessa atalanta,32.832286,-117.104258,2019-03-17
Vanessa atalanta,36.933504,-121.739842,2019-03-25
Vanessa atalanta,33.502443,-112.010673,2019-03-23
Vanessa atalanta,33.588062,-101.823627,2019-02-23
Vanessa atalanta,33.588787,-101.820737,2019-02-23
Vanessa atalanta,33.052058,-100.51459,2019-03-26
Vanessa atalanta,33.055737,-100.530698,2019-03-27
Vanessa atalanta,32.728422,-117.000731,2019-03-28
Vanessa atalanta,31.963821,-102.121179,2019-03-28
Vanessa atalanta,31.965305,-102.118113,2019-03-28
Vanessa atalanta,33.531878,-112.102953,2019-03-30
Vanessa atalanta,37.005483,-121.701019,2019-03-30
Vanessa atalanta,37.755941,-122.471585,2019-03-31
Vanessa atalanta,31.45347,-100.409975,2019-03-29
Vanessa atalanta,34.55097,-118.511345,2019-03-31
Vanessa atalanta,37.835219,-122.489944,2018-12-29
Vanessa atalanta,34.769958,-106.76123,2019-04-02
Vanessa atalanta,34.07244,-118.095359,2019-04-04
Vanessa atalanta,32.764169,-117.094781,2019-04-04
Vanessa atalanta,34.769066,-106.761187,2019-04-04
Vanessa atalanta,33.09283,-117.299759,2017-02-12
Vanessa atalanta,37.738579,-122.429276,2019-04-06
Vanessa atalanta,29.847056,-103.315558,2019-04-01
Vanessa atalanta,34.024673,-118.153455,2019-04-06
Vanessa atalanta,47.296272,-101.630439,2015-05-24
Vanessa atalanta,34.396683,-112.23468,2019-04-07
Vanessa atalanta,31.416139,-110.285026,2017-10-06
Vanessa atalanta,33.283969,-110.826527,2017-10-18
Vanessa atalanta,33.975107,-111.80382,2019-04-07
Vanessa atalanta,34.034257,-118.045253,2019-04-07
Vanessa atalanta,38.699827,-121.389716,2013-04-02
Vanessa atalanta,33.580727,-112.549098,2019-03-07
